1,0,0,0,0,24,0,0,0,0,0,0,0,0,120,1,3,0,0,0,6,7,2,0,0,17,11,0.39285714285714,0.53571428571429,1,0,0,0,3,0,0,1,0,0,0,7,0,0,0,0,0,0,0,2.3658,1,3
0,0,1,0,0,22,0,0,0,0,0,0,0,0,88,1,3,0,0,0,10,17,2,0,0,9,42,0.82352941176471,0.49019607843137,0,0,1,0,6,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1.4907,1,3
0,0,0,1,0,20,0,0,0,0,0,0,0,0,164,1,3,0,0,0,5,5,0,0,0,8,16,0.66666666666667,0.54166666666667,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1.8971,1,2
1,2,0,0,0,20,0,0,0,0,0,0,0,0,192,1,9,0,0,0,13,14,2,0,0,39,26,0.4,0.92307692307692,1,2,0,0,7,0,0,1,0,0,0,24,0,0,0,0,0,0,0,3.6539,4.2162636152955,4
0,2,1,2,0,18,0,0,0,0,0,0,4,0,228,1,15,0,0,0,17,16,6,3,0,48,33,0.40740740740741,1.2469135802469,0,2,1,2,13,0,0,3,0,0,0,36,0,0,0,0,0,0,0,5.9492,5.4049956902593,5
0,0,0,1,0,12,1,0,0,0,0,0,4,0,228,1,3,0,0,0,7,4,4,4,0,10,25,0.71428571428571,0.85714285714286,0,0,0,1,4,0,0,2,0,0,0,22,0,0,0,0,0,0,0,3.1062,2.1402646899865,5
0,1,0,1,0,8,1,0,0,0,0,0,4,0,228,1,6,0,0,0,10,15,6,0,0,36,18,0.33333333333333,0.64814814814815,0,1,0,1,6,0,0,3,0,0,0,20,0,0,0,0,0,0,0,4.2067,3.4976506928645,5
0,0,3,2,0,24,1,0,0,12,10,0,0,1,176,1,15,0,0,0,17,21,0,1,0,31,55,0.63953488372093,1.1395348837209,0,0,3,2,14,0,0,1,0,0,0,32,0,0,0,0,0,0,0,4.1946,5.089772498086,5
0,0,0,1,0,24,1,0,0,6,18,0,0,1,304,1,3,0,0,0,8,7,2,0,0,13,22,0.62857142857143,0.31428571428571,0,0,0,1,3,0,0,1,0,0,0,10,0,0,0,0,0,0,0,2.1935,2.2276185664513,5
0,0,1,1,0,22,1,0,1,6,18,0,0,1,304,1,6,0,0,0,12,8,4,5,0,23,36,0.61016949152542,1.135593220339,0,0,1,1,8,0,0,2,0,0,0,28,0,0,0,0,0,0,0,3.5531,3.2218869954773,4
1,1,0,1,0,18,1,0,1,20,14,4,0,1,240,1,9,0,0,0,14,9,2,0,0,13,54,0.80597014925373,0.62686567164179,1,1,0,1,7,0,0,1,0,0,0,30,0,0,0,0,0,0,0,3.1479,4.3664134016513,5
1,1,1,1,0,20,1,0,1,6,20,4,0,1,256,1,12,0,0,0,21,16,4,4,0,35,68,0.66019417475728,0.86407766990291,1,1,1,1,14,0,0,2,0,0,0,36,0,0,0,0,0,0,0,4.0131,5.4089197417277,5
0,0,0,0,0,20,1,0,1,16,6,4,0,1,184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3787,2.0166738565794,5
1,0,0,1,0,24,1,0,1,8,28,0,0,1,220,0,3,1,0,0,49,38,6,0,0,51,198,0.79518072289157,0.036144578313253,0,0,0,1,10,0,0,3,0,0,0,24,0,0,0,0,1,0,0,-0.9661,3.3251619055288,1
